dataset,dataset_key,ground_truth_label,n_cells,label_display,sort_key
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,activated_stellate,180,activated_stellate,180
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,gamma,361,gamma,361
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,delta,406,delta,406
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,acinar,713,acinar,713
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,ductal,1066,ductal,1066
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,beta,1175,beta,1175
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,alpha,2290,alpha,2290
Paul15 bone marrow,paul15_bone_marrow_raw_counts,18Eos,9,18Eos,9
Paul15 bone marrow,paul15_bone_marrow_raw_counts,17Neu,22,17Neu,22
Paul15 bone marrow,paul15_bone_marrow_raw_counts,11DC,30,11DC,30
Paul15 bone marrow,paul15_bone_marrow_raw_counts,19Lymph,31,19Lymph,31
Paul15 bone marrow,paul15_bone_marrow_raw_counts,1Ery,43,1Ery,43
Paul15 bone marrow,paul15_bone_marrow_raw_counts,9GMP,63,9GMP,63
Paul15 bone marrow,paul15_bone_marrow_raw_counts,8Mk,68,8Mk,68
Paul15 bone marrow,paul15_bone_marrow_raw_counts,12Baso,69,12Baso,69
Paul15 bone marrow,paul15_bone_marrow_raw_counts,4Ery,124,4Ery,124
Paul15 bone marrow,paul15_bone_marrow_raw_counts,10GMP,153,10GMP,153
Paul15 bone marrow,paul15_bone_marrow_raw_counts,16Neu,164,16Neu,164
Paul15 bone marrow,paul15_bone_marrow_raw_counts,7MEP,167,7MEP,167
Paul15 bone marrow,paul15_bone_marrow_raw_counts,6Ery,173,6Ery,173
Paul15 bone marrow,paul15_bone_marrow_raw_counts,5Ery,180,5Ery,180
Paul15 bone marrow,paul15_bone_marrow_raw_counts,15Mo,186,15Mo,186
Paul15 bone marrow,paul15_bone_marrow_raw_counts,3Ery,246,3Ery,246
Paul15 bone marrow,paul15_bone_marrow_raw_counts,13Baso,300,13Baso,300
Paul15 bone marrow,paul15_bone_marrow_raw_counts,2Ery,329,2Ery,329
Paul15 bone marrow,paul15_bone_marrow_raw_counts,14Mo,373,14Mo,373
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,t_cell,2,t_cell,2
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,schwann,5,schwann,5
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,mast,8,mast,8
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,epsilon,13,epsilon,13
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,macrophage,14,macrophage,14
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,activated_stellate,51,activated_stellate,51
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,gamma,70,gamma,70
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,quiescent_stellate,92,quiescent_stellate,92
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,acinar,110,acinar,110
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,ductal,120,ductal,120
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,endothelial,130,endothelial,130
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,delta,214,delta,214
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,alpha,236,alpha,236
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,beta,872,beta,872
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,epsilon,2,epsilon,2
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,t_cell,2,t_cell,2
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,acinar,3,acinar,3
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,schwann,6,schwann,6
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,mast,9,mast,9
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,macrophage,17,macrophage,17
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,quiescent_stellate,22,quiescent_stellate,22
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,endothelial,23,endothelial,23
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,activated_stellate,81,activated_stellate,81
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,gamma,86,gamma,86
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,delta,125,delta,125
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,ductal,301,ductal,301
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,beta,371,beta,371
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,alpha,676,alpha,676
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,B_cell,2,B_cell,2
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,schwann,3,schwann,3
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,T_cell,4,T_cell,4
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,activated_stellate,4,activated_stellate,4
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,immune_other,4,immune_other,4
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,alpha,9,alpha,9
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,gamma,14,gamma,14
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,macrophage,17,macrophage,17
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,quiescent_stellate,29,quiescent_stellate,29
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,endothelial,72,endothelial,72
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,delta,85,delta,85
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,ductal,236,ductal,236
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,beta,343,beta,343
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,neutrophil,30,neutrophil,30
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,"CD4-positive, alpha-beta T cell",42,"CD4-positive, alpha-beta T cell",42
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,NK cell,42,NK cell,42
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,T cell,45,T cell,45
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,"CD8-positive, alpha-beta T cell",64,"CD8-positive, alpha-beta T cell",64
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,mature NK T cell,176,mature NK T cell,176
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,myeloid leukocyte,209,myeloid leukocyte,209
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,B cell,210,B cell,210
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,Kupffer cell,262,Kupffer cell,262
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,endothelial cell of hepatic sinusoid,617,endothelial cell of hepatic sinusoid,617
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,hepatocyte,1162,hepatocyte,1162
